un_number,name_en,class_or_division,subsidiary_hazard,packing_group,special_provisions,limited_quantity,excepted_quantity,packing_instructions,special_packing_provisions,tank_bulk_instructions,tank_special_provisions,source_page
0004,10%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),PP26,,,203
0005,()†,1.1F,,,,0,E0,P130 LP101,,,,203
0006,()†,1.1E,,,,0,E0,P130 LP101,PP67 L1,,,203
0007,()†,1.2F,,,,0,E0,P130 LP101,,,,203
0009,†,1.2G,,,,0,E0,P130 LP101,PP67 L1,,,203
0010,†,1.3G,,,,0,E0,P130 LP101,PP67 L1,,,203
0012,() †,1.4S,,,364,5kg,E0,P130 LP101,,,,203
0014,() †,1.4S,,,364,5kg,E0,P130 LP101,,,,203
0015,†,1.2G,,,204,0,E0,P130 LP101,PP67 L1,,,203
0016,†,1.3G,,,204,0,E0,P130 LP101,PP67 L1,,,203
0018,†,1.2G,6.1 8,,,0,E0,P130 LP101,PP67 L1,,,203
0019,†,1.3G,6.1 8,,,0,E0,P130 LP101,PP67 L1,,,203
0020,†,1.2K,6.1,,274,0,E0,P101,,,,203
0021,†,1.3K,6.1,,274,0,E0,P101,,,,203
0027,() †,1.1D,,,,0,E0,P113,PP50,,,203
0028,() () †,1.1D,,,,0,E0,P113,PP51,,,203
0029,†,1.1B,,,,0,E0,P131,PP68,,,203
0030,†,1.1B,,,399,0,E0,P131,,,,203
0033,†,1.1F,,,,0,E0,P130 LP101,,,,203
0034,†,1.1D,,,,0,E0,P130 LP101,PP67 L1,,,203
0035,†,1.2D,,,,0,E0,P130 LP101,PP67 L1,,,203
0037,†,1.1F,,,,0,E0,P130 LP101,,,,203
0038,†,1.1D,,,,0,E0,P130 LP101,PP67 L1,,,203
0039,†,1.2G,,,,0,E0,P130 LP101,PP67 L1,,,203
0042,†,1.1D,,,,0,E0,P132(a) P132(b),,,,203
0043,†,1.1D,,,,0,E0,P133,PP69,,,203
0044,†,1.4S,,,,0,E0,P133,,,,204
0048,†,1.1D,,,,0,E0,P130 LP101,PP67 L1,,,204
0049,†,1.1G,,,,0,E0,P135,,,,204
0050,†,1.3G,,,,0,E0,P135,,,,204
0054,†,1.3G,,,,0,E0,P135,,,,204
0055,†,1.4S,,,364,5kg,E0,P136,,,,204
0056,†,1.1D,,,,0,E0,P130 LP101,PP67 L1,,,204
0059,†,1.1D,,,,0,E0,P137,PP70,,,204
0060,†,1.1D,,,,0,E0,P132(a) P132(b),,,,204
0065,†,1.1D,,,,0,E0,P139,PP71 PP72,,,204
0066,†,1.4G,,,,0,E0,P140,,,,204
0070,†,1.4S,,,,0,E0,P134 LP102,,,,204
0072,( RDX) 15%†,1.1D,,,266,0,E0,P112(a),PP45,,,204
0073,†,1.1B,,,,0,E0,P133,,,,204
0074,40%†,1.1A,,,266,0,E0,P110(a) P110(b),PP42,,,204
0075,25% †,1.1D,,,266,0,E0,P115,PP53 PP54 PP57 PP58,,,204
0076,15%†,1.1D,6.1,,,0,E0,P112(a) P112(b) P112(c),PP26,,,204
0077,15%†,1.3C,6.1,,,0,E0,P114(a) P114(b),PP26,,,204
0078,15%†,1.1D,,,,0,E0,P112(a) P112(b) P112(c),PP26,,,204
0079,( ) †,1.1D,,,,0,E0,P112(b) P112(c),,,,204
0081,A†,1.1D,,,,0,E0,P116,PP63 PP66,,,204
0082,B†,1.1D,,,,0,E0,P116 IBC100,PP61 PP62 B9,,,204
0083,C†,1.1D,,,267,0,E0,P116,,,,204
0084,D†,1.1D,,,,0,E0,P116,,,,204
0092,†,1.3G,,,,0,E0,P135,,,,204
0093,†,1.3G,,,,0,E0,P135,,,,204
0094,†,1.1G,,,,0,E0,P113,PP49,,,204
0099,,1.1D,,,,0,E0,P134 LP102,,,,205
0101,†,1.3G,,,,0,E0,P140,PP74 PP75,,,205
